"","TrialId","Prime","AOI1","AOI2","FirstFixation","FirstFixationTime","PrimeWord","PrimeNasal","PrimeVoiced","CompetitorWord","CompetitorNasal","CompetitorVoiced","PrimeTime"
"74",74,"led","let","led",203,676.666666666667,"led",FALSE,TRUE,"let",FALSE,FALSE,NA
"75",75,"lend_early","led","lend",193,643.333333333333,"lend",TRUE,TRUE,"led",FALSE,TRUE,"early"
"76",76,"send_early","send","sent",217,723.333333333333,"send",TRUE,TRUE,"sent",TRUE,FALSE,"early"
"77",77,"bent_early","bet","bent",177,590,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"early"
"78",78,"send_early","said","send",185,616.666666666667,"send",TRUE,TRUE,"said",FALSE,TRUE,"early"
"79",79,"lent_late","lend","lent",169,563.333333333333,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"late"
"80",80,"bent_early","bend","bent",98,326.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"early"
"81",81,"sent_late","set","sent",216,720,"sent",TRUE,FALSE,"set",FALSE,FALSE,"late"
"82",82,"bend_late","bed","bend",165,550,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"late"
"83",83,"bend_late","bent","bend",197,656.666666666667,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"late"
"84",84,"sent_early","sent","set",185,616.666666666667,"sent",TRUE,FALSE,"set",FALSE,FALSE,"early"
"85",85,"bent_early","bent","bend",168,560,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"early"
"86",86,"said","set","said",216,720,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"87",88,"said","send","said",182,606.666666666667,"said",FALSE,TRUE,"send",TRUE,TRUE,NA
"88",89,"bent_late","bent","bend",215,716.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"late"
"89",90,"let","lent","let",272,906.666666666667,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"90",91,"set","said","set",209,696.666666666667,"set",FALSE,FALSE,"said",FALSE,TRUE,NA
"91",92,"lend_late","lent","lend",172,573.333333333333,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"late"
"92",93,"said","said","set",201,670,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"93",94,"send_early","send","said",197,656.666666666667,"send",TRUE,TRUE,"said",FALSE,TRUE,"early"
"94",95,"led","led","lend",212,706.666666666667,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"95",96,"lent_early","lent","let",206,686.666666666667,"lent",TRUE,FALSE,"let",FALSE,FALSE,"early"
"96",97,"send_late","send","said",198,660,"send",TRUE,TRUE,"said",FALSE,TRUE,"late"
"97",98,"lent_late","lent","let",177,590,"lent",TRUE,FALSE,"let",FALSE,FALSE,"late"
"98",99,"bend_early","bed","bend",182,606.666666666667,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"early"
"99",100,"bed","bed","bet",218,726.666666666667,"bed",FALSE,TRUE,"bet",FALSE,FALSE,NA
"100",101,"led","lend","led",160,533.333333333333,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"101",103,"let","let","lent",221,736.666666666667,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"102",104,"sent_early","send","sent",213,710,"sent",TRUE,FALSE,"send",TRUE,TRUE,"early"
"103",105,"sent_late","sent","set",190,633.333333333333,"sent",TRUE,FALSE,"set",FALSE,FALSE,"late"
"104",106,"bed","bet","bed",164,546.666666666667,"bed",FALSE,TRUE,"bet",FALSE,FALSE,NA
"105",107,"send_late","sent","send",193,643.333333333333,"send",TRUE,TRUE,"sent",TRUE,FALSE,"late"
"106",108,"lent_early","lent","lend",184,613.333333333333,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"107",109,"lent_early","let","lent",153,510,"lent",TRUE,FALSE,"let",FALSE,FALSE,"early"
"108",110,"set","sent","set",189,630,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"109",111,"bend_late","bend","bent",236,786.666666666667,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"late"
"110",112,"said","said","send",180,600,"said",FALSE,TRUE,"send",TRUE,TRUE,NA
"111",113,"sent_late","sent","send",243,810,"sent",TRUE,FALSE,"send",TRUE,TRUE,"late"
"112",114,"sent_late","send","sent",148,493.333333333333,"sent",TRUE,FALSE,"send",TRUE,TRUE,"late"
"113",115,"lent_early","lend","lent",151,503.333333333333,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"114",116,"lend_late","lend","lent",267,890,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"late"
"115",117,"set","set","sent",214,713.333333333333,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"116",118,"sent_early","set","sent",217,723.333333333333,"sent",TRUE,FALSE,"set",FALSE,FALSE,"early"
"117",119,"bent_late","bend","bent",230,766.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"late"
